"text","book","chapter"
" As he had expected, Mrs. Dursley looked shocked and angry. After","Book 1: Philosopher's Stone","chap-1"
"all, they normally pretended she didn't have a sister.  `No,` she","Book 1: Philosopher's Stone","chap-1"
"said sharply. `Why?`  `Funny stuff on the news,` Mr. Dursley mumbled.","Book 1: Philosopher's Stone","chap-1"
"`Owls... shooting stars... and there were a lot of funny-looking people in","Book 1: Philosopher's Stone","chap-1"
"town today...`  `So?` snapped Mrs. Dursley.  `Well, I just thought...","Book 1: Philosopher's Stone","chap-1"
"maybe... it was something to do with... you know... her crowd.` ","Book 1: Philosopher's Stone","chap-1"
"Mrs. Dursley sipped her tea through pursed lips. Mr. Dursley wondered whether","Book 1: Philosopher's Stone","chap-1"
"he dared tell her he'd heard the name `Potter.` He decided he","Book 1: Philosopher's Stone","chap-1"
"didn't dare. Instead he said, as casually as he could, `Their son","Book 1: Philosopher's Stone","chap-1"
"-- he'd be about Dudley's age now, wouldn't he?`  `I suppose","Book 1: Philosopher's Stone","chap-1"
"so,` said Mrs. Dursley stiffly.  `What's his name again? Howard, isn't","Book 1: Philosopher's Stone","chap-1"
"it?`  `Harry. Nasty, common name, if you ask me.`  `Oh,","Book 1: Philosopher's Stone","chap-1"
"yes,` said Mr. Dursley, his heart sinking horribly. `Yes, I quite agree.`","Book 1: Philosopher's Stone","chap-1"
" He didn't say another word on the subject as they went","Book 1: Philosopher's Stone","chap-1"
"upstairs to bed. While Mrs. Dursley was in the bathroom, Mr. Dursley","Book 1: Philosopher's Stone","chap-1"
"crept to the bedroom window and peered down into the front garden.","Book 1: Philosopher's Stone","chap-1"
"The cat was still there. It was staring down Privet Drive as","Book 1: Philosopher's Stone","chap-1"
"though it were waiting for something.  Was he imagining things? Could","Book 1: Philosopher's Stone","chap-1"
"all this have anything to do with the Potters? If it did...","Book 1: Philosopher's Stone","chap-1"
"if it got out that they were related to a pair of","Book 1: Philosopher's Stone","chap-1"
"-- well, he didn't think he could bear it.  The Dursleys","Book 1: Philosopher's Stone","chap-1"
"got into bed. Mrs. Dursley fell asleep quickly but Mr. Dursley lay","Book 1: Philosopher's Stone","chap-1"
"awake, turning it all over in his mind. His last, comforting thought","Book 1: Philosopher's Stone","chap-1"
"before he fell asleep was that even if the Potters were involved,","Book 1: Philosopher's Stone","chap-1"
"there was no reason for them to come near him and Mrs.","Book 1: Philosopher's Stone","chap-1"
"Dursley. The Potters knew very well what he and Petunia thought about","Book 1: Philosopher's Stone","chap-1"
"them and their kind.... He couldn't see how he and Petunia could","Book 1: Philosopher's Stone","chap-1"
"get mixed up in anything that might be going on -- he","Book 1: Philosopher's Stone","chap-1"
"yawned and turned over -- it couldn't affect them....  How very","Book 1: Philosopher's Stone","chap-1"
"wrong he was.  Mr. Dursley might have been drifting into an","Book 1: Philosopher's Stone","chap-1"
"uneasy sleep, but the cat on the wall outside was showing no","Book 1: Philosopher's Stone","chap-1"
"sign of sleepiness. It was sitting as still as a statue, its","Book 1: Philosopher's Stone","chap-1"
"eyes fixed unblinkingly on the far corner of Privet Drive. It didn't","Book 1: Philosopher's Stone","chap-1"
"so much as quiver when a car door slammed on the next","Book 1: Philosopher's Stone","chap-1"
"street, nor when two owls swooped overhead. In fact, it was nearly","Book 1: Philosopher's Stone","chap-1"
"midnight before the cat moved at all.  A man appeared on","Book 1: Philosopher's Stone","chap-1"
"the corner the cat had been watching, appeared so suddenly and silently","Book 1: Philosopher's Stone","chap-1"
"you'd have thought he'd just popped out of the ground. The cat's","Book 1: Philosopher's Stone","chap-1"
"tail twitched and its eyes narrowed.  Nothing like this man had","Book 1: Philosopher's Stone","chap-1"
"ever been seen on Privet Drive. He was tall, thin, and very","Book 1: Philosopher's Stone","chap-1"
"old, judging by the silver of his hair and beard, which were","Book 1: Philosopher's Stone","chap-1"
"both long enough to tuck into his belt. He was wearing long","Book 1: Philosopher's Stone","chap-1"
"robes, a purple cloak that swept the ground, and high-heeled, buckled boots.","Book 1: Philosopher's Stone","chap-1"
"His blue eyes were light, bright, and sparkling behind half-moon spectacles and","Book 1: Philosopher's Stone","chap-1"
"his nose was very long and crooked, as though it had been","Book 1: Philosopher's Stone","chap-1"
"broken at least twice. This man's name was Albus Dumbledore.  Albus","Book 1: Philosopher's Stone","chap-1"
"Dumbledore didn't seem to realize that he had just arrived in a","Book 1: Philosopher's Stone","chap-1"
"street where everything from his name to his boots was unwelcome. He","Book 1: Philosopher's Stone","chap-1"
"was busy rummaging in his cloak, looking for something. But he did","Book 1: Philosopher's Stone","chap-1"
"seem to realize he was being watched, because he looked up suddenly","Book 1: Philosopher's Stone","chap-1"
"at the cat, which was still staring at him from the other","Book 1: Philosopher's Stone","chap-1"
"end of the street. For some reason, the sight of the cat","Book 1: Philosopher's Stone","chap-1"
"seemed to amuse him. He chuckled and muttered, `I should have known.`","Book 1: Philosopher's Stone","chap-1"
" He found what he was looking for in his inside pocket.","Book 1: Philosopher's Stone","chap-1"
"It seemed to be a silver cigarette lighter. He flicked it open,","Book 1: Philosopher's Stone","chap-1"
"held it up in the air, and clicked it. The nearest street","Book 1: Philosopher's Stone","chap-1"
"lamp went out with a little pop. He clicked it again --","Book 1: Philosopher's Stone","chap-1"
"the next lamp flickered into darkness. Twelve times he clicked the Put-Outer,","Book 1: Philosopher's Stone","chap-1"
"until the only lights left on the whole street were two tiny","Book 1: Philosopher's Stone","chap-1"
"pinpricks in the distance, which were the eyes of the cat watching","Book 1: Philosopher's Stone","chap-1"
"him. If anyone looked out of their window now, even beady-eyed Mrs.","Book 1: Philosopher's Stone","chap-1"
"Dursley, they wouldn't be able to see anything that was happening down","Book 1: Philosopher's Stone","chap-1"
"on the pavement. Dumbledore slipped the Put-Outer back inside his cloak and","Book 1: Philosopher's Stone","chap-1"
"set off down the street toward number four, where he sat down","Book 1: Philosopher's Stone","chap-1"
"on the wall next to the cat. He didn't look at it,","Book 1: Philosopher's Stone","chap-1"
"but after a moment he spoke to it.  `Fancy seeing you","Book 1: Philosopher's Stone","chap-1"
"here, Professor McGonagall.`  He turned to smile at the tabby, but","Book 1: Philosopher's Stone","chap-1"
"it had gone. Instead he was smiling at a rather severe-looking woman","Book 1: Philosopher's Stone","chap-1"
"who was wearing square glasses exactly the shape of the markings the","Book 1: Philosopher's Stone","chap-1"
"cat had had around its eyes. She, too, was wearing a cloak,","Book 1: Philosopher's Stone","chap-1"
"an emerald one. Her black hair was drawn into a tight bun.","Book 1: Philosopher's Stone","chap-1"
